Data	Local	venda	itens	tipo_produto
01/jan	loja01	11421	235	roupa
02/jan	loja01	6323,2	128	roupa
03/jan	loja01	11423,2	218	roupa
04/jan	loja01	21071,4	406	roupa
05/jan	loja01	21883,4	406	roupa
06/jan	loja01	4972,6	94	roupa
07/jan	loja01	9523	178	roupa
08/jan	loja01	10257,8	238	roupa
09/jan	loja01	3936,8	74	roupa
10/jan	loja01	21704,5	415	roupa
11/jan	loja01	5355,8	122	roupa
12/jan	loja01	11013,7	241	roupa
13/jan	loja01	16449,7	271	roupa
14/jan	loja01	2569,6	44	roupa
15/jan	loja01	23206	410	roupa
16/jan	loja01	20991,6	441	roupa
17/jan	loja01	15946,8	291	roupa
18/jan	loja01	20150,1	459	roupa
19/jan	loja01	10608,8	178	roupa
20/jan	loja01	3413,6	68	roupa
21/jan	loja01	16337	310	roupa
22/jan	loja01	14025,6	288	roupa
23/jan	loja01	26842,2	462	roupa
24/jan	loja01	6449,6	139	roupa
25/jan	loja01	8742	188	roupa
26/jan	loja01	24775,2	444	roupa
27/jan	loja01	7459,2	126	roupa
28/jan	loja01	14603,4	266	roupa
29/jan	loja01	8724,2	181	roupa
30/jan	loja01	4589,9	83	roupa
31/jan	loja01	13038,3	297	roupa
01/fev	loja01	21691	398	roupa
02/fev	loja01	15652	260	roupa
03/fev	loja01	4204,8	72	roupa
04/fev	loja01	5490	90	roupa
05/fev	loja01	22078	415	roupa
06/fev	loja01	9230,8	188	roupa
07/fev	loja01	7524	152	roupa
08/fev	loja01	9170,8	202	roupa
09/fev	loja01	8486,4	156	roupa
10/fev	loja01	11134,2	231	roupa
11/fev	loja01	12347,8	214	roupa
12/fev	loja01	10113,2	193	roupa
13/fev	loja01	20253	430	roupa
14/fev	loja01	25459,2	442	roupa
15/fev	loja01	15367,2	337	roupa
16/fev	loja01	21973	430	roupa
17/fev	loja01	8331,7	169	roupa
18/fev	loja01	13008,6	219	roupa
19/fev	loja01	18902,8	314	roupa
20/fev	loja01	17911,2	408	roupa
21/fev	loja01	20948,4	414	roupa
22/fev	loja01	13412,1	247	roupa
23/fev	loja01	22976,1	441	roupa
24/fev	loja01	18614,7	333	roupa
25/fev	loja01	16854,2	326	roupa
26/fev	loja01	20835,3	349	roupa
27/fev	loja01	2769,4	61	roupa
28/fev	loja01	10728,5	215	roupa
29/fev	loja01	7685,8	166	roupa
01/mar	loja01	21618,9	471	roupa
02/mar	loja01	22902,4	421	roupa
03/mar	loja01	4534,6	79	roupa
04/mar	loja01	23489,6	424	roupa
05/mar	loja01	14994,1	317	roupa
06/mar	loja01	11684,4	214	roupa
07/mar	loja01	19631,5	395	roupa
08/mar	loja01	19429,6	326	roupa
09/mar	loja01	7421,4	171	roupa
10/mar	loja01	18548,1	333	roupa
11/mar	loja01	14438,5	335	roupa
12/mar	loja01	20257	431	roupa
13/mar	loja01	9416,5	185	roupa
14/mar	loja01	18076,5	351	roupa
15/mar	loja01	8642,6	158	roupa
16/mar	loja01	17600,8	392	roupa
17/mar	loja01	16172,8	304	roupa
18/mar	loja01	10354,5	195	roupa
19/mar	loja01	3726	69	roupa
20/mar	loja01	3861,7	73	roupa
21/mar	loja01	15174,5	341	roupa
22/mar	loja01	10878,1	181	roupa
23/mar	loja01	13694,8	268	roupa
24/mar	loja01	18517,6	316	roupa
25/mar	loja01	20862,3	353	roupa
26/mar	loja01	9480,4	173	roupa
27/mar	loja01	9779,8	214	roupa
28/mar	loja01	2668	58	roupa
29/mar	loja01	21477,6	456	roupa
30/mar	loja01	10149,3	189	roupa
31/mar	loja01	9632	215	roupa
01/abr	loja01	11741,2	197	roupa
02/abr	loja01	15884,1	333	roupa
03/abr	loja01	11289,6	252	roupa
04/abr	loja01	9487,8	189	roupa
05/abr	loja01	21945	462	roupa
06/abr	loja01	11243,5	199	roupa
07/abr	loja01	14466,6	282	roupa
08/abr	loja01	9233,2	164	roupa
09/abr	loja01	10803	195	roupa
10/abr	loja01	5686,3	101	roupa
11/abr	loja01	7228	139	roupa
12/abr	loja01	15732	345	roupa
13/abr	loja01	19852,8	384	roupa
14/abr	loja01	16644	380	roupa
15/abr	loja01	17195	362	roupa
16/abr	loja01	20862	366	roupa
17/abr	loja01	22822,5	425	roupa
18/abr	loja01	11151	210	roupa
19/abr	loja01	17055,6	366	roupa
20/abr	loja01	16691,4	281	roupa
21/abr	loja01	3736,7	79	roupa
22/abr	loja01	12342,8	236	roupa
23/abr	loja01	9338	203	roupa
24/abr	loja01	16879,5	363	roupa
25/abr	loja01	3870	86	roupa
26/abr	loja01	12876,3	251	roupa
27/abr	loja01	10038,6	198	roupa
28/abr	loja01	8265,6	168	roupa
29/abr	loja01	6896,1	127	roupa
30/abr	loja01	20944	352	roupa
01/mai	loja01	2753,1	57	roupa
02/mai	loja01	17388	322	roupa
03/mai	loja01	24684,8	406	roupa
04/mai	loja01	11153,8	257	roupa
05/mai	loja01	19338,6	386	roupa
06/mai	loja01	16896,6	298	roupa
07/mai	loja01	16947,7	341	roupa
08/mai	loja01	4416,1	79	roupa
09/mai	loja01	9418,8	188	roupa
10/mai	loja01	23491,6	418	roupa
11/mai	loja01	24451,2	432	roupa
12/mai	loja01	5462,1	119	roupa
13/mai	loja01	28154,2	478	roupa
14/mai	loja01	20107,2	426	roupa
15/mai	loja01	6718,4	152	roupa
16/mai	loja01	4398,3	81	roupa
17/mai	loja01	8728,7	191	roupa
18/mai	loja01	17864	385	roupa
19/mai	loja01	11679,5	235	roupa
20/mai	loja01	4266	79	roupa
21/mai	loja01	6003,2	134	roupa
22/mai	loja01	12078,1	269	roupa
23/mai	loja01	23800,4	398	roupa
24/mai	loja01	15419,9	271	roupa
25/mai	loja01	5768,4	114	roupa
26/mai	loja01	12968,8	232	roupa
27/mai	loja01	15926,4	288	roupa
28/mai	loja01	20111,6	367	roupa
29/mai	loja01	7531	170	roupa
30/mai	loja01	15178,8	278	roupa
31/mai	loja01	11210	236	roupa
01/jun	loja01	22089,9	469	roupa
02/jun	loja01	5489	110	roupa
03/jun	loja01	22003,2	384	roupa
04/jun	loja01	7954,4	163	roupa
05/jun	loja01	8136	144	roupa
06/jun	loja01	15718	290	roupa
07/jun	loja01	5726,8	103	roupa
08/jun	loja01	10512	219	roupa
09/jun	loja01	2799,9	61	roupa
10/jun	loja01	14706,2	278	roupa
11/jun	loja01	7358,4	146	roupa
12/jun	loja01	22480	400	roupa
